Original ID,Agreement Date,Maturity Date,Status,Quantity,Leg1 Notional,Leg1 currency,Leg1 price,Leg2 Notional,Leg2 currency,Leg2 price,Underlying,Counterparty,Direction,Product,UTI,Prior UTI
1041_10006_U516,08/01/2025 00:00:00,04/01/2027 00:00:00,LIVE,2543940.0000000000,11981957.4000000000,BRL,4.7100000000,2307195.7537080060,USD,0.45000000,BRDXCOACNOR8,00FLOO,SELL,EQSWAP,5493006QMFDDMYWIAM13104110006U516,
1041_10011_U1054,08/01/2025 00:00:00,04/01/2027 00:00:00,LIVE,360000.0000000000,23835600.0000000000,BRL,66.2100000000,4589683.7443920000,USD,0.45000000,BRPRIOACNOR1,00FLOO,SELL,EQSWAP,5493006QMFDDMYWIAM13104110011U1054,
1041_10401_U784,08/01/2025 00:00:00,04/01/2027 00:00:00,LIVE,168750.0000000000,-3157312.5000000000,BRL,18.7100000000,-607958.9293781250,USD,-0.40000000,BRSLCEACNOR2,00FLOO,BUY,EQSWAP,5493006QMFDDMYWIAM13104110401U784,
1041_11312_U1082,08/01/2025 00:00:00,04/01/2027 00:00:00,LIVE,600000.0000000000,11496000.0000000000,BRL,19.1600000000,2213621.8230600000,USD,0.45000000,BRSMFTACNOR1,00FLOO,SELL,EQSWAP,5493006QMFDDMYWIAM13104111312U1082,
1041_11687_U897,08/01/2025 00:00:00,04/01/2027 00:00:00,LIVE,1439940.0000000000,8927628.0000000000,BRL,6.2000000000,1719066.8204791980,USD,0.45000000,BRPOMOACNPR7,00FLOO,SELL,EQSWAP,5493006QMFDDMYWIAM13104111687U897,
1041_13301_U512,08/01/2025 00:00:00,04/01/2027 00:00:00,LIVE,100600.0000000000,3052204.0000000000,BRL,30.3400000000,587719.6749114800,USD,0.45000000,BRALOSACNOR5,00FLOO,SELL,EQSWAP,5493006QMFDDMYWIAM13104113301U512,
1041_13407_U519,08/01/2025 00:00:00,04/01/2027 00:00:00,LIVE,103000.0000000000,1483200.0000000000,BRL,14.4000000000,285598.8072311000,USD,0.45000000,BRPNVLACNOR9,00FLOO,SELL,EQSWAP,5493006QMFDDMYWIAM13104113407U519,
1044_10007_U1108,01/08/2025 00:00:00,05/08/2026 00:00:00,LIVE,3400000.0000000000,85325999.9998600000,BRL,25.0958823529,85325999.9998600000,BRL,-0.20000000,BRENEVACNOR8,00ZICE,SELL,EQSWAP,5493006QMFDDMYWIAM13104410007U1108,5493006QMFDDMYWIAM131044_10007_U1107
1044_10061_U461,01/08/2025 00:00:00,05/08/2026 00:00:00,LIVE,500000.0000000000,-21395000.0000000000,BRL,42.7900000000,-21395000.0000000000,BRL,-0.50000000,BRTAEECDAM10,00ZICD,BUY,EQSWAP,5493006QMFDDMYWIAM13104410061U461,5493006QMFDDMYWIAM131044_10061_U460
1044_10101_U1044,01/08/2025 00:00:00,05/08/2026 00:00:00,LIVE,2800000.0000000000,81956000.0000000000,BRL,29.2700000000,81956000.0000000000,BRL,-0.20000000,BRUGPAACNOR8,00ZICE,SELL,EQSWAP,5493006QMFDDMYWIAM13104410101U1044,5493006QMFDDMYWIAM131044_10101_U1042
