"ACTION_IND";"ORIGINAL_ID";"CONTRACT_ID";"SANTANDER_GLCS";"BRANCH";"CPTY_GLCS";"TRADE_DATE";"MATURITY_DATE_LEG_1";"MATURITY_DATE_LEG_2";"NOMINAL1_LEG1";"NOMINAL1_LEG2";"EVENT_TYPE";"EVENT_IND";"STATUS";"UTI_1";"UTI_2";"PRIOR_UTI_1";"PRIOR_UTI_2";"PRODUCT";"RATE_LEG_1";"RATE_LEG_2";"UPI";"UPI2"
"Termination";"1051_10007_U654_SWAPONE_SWAPSWAPONEEQSWP";"1051_10007_U654_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"00YRB9";"2026-02-10";"2026-11-03";"2026-11-03";"2640000.0";"";"mxContractEventIUNWIND";"Unwind";"dead";"5493006QMFDDMYWIAM13105110007U654";"";"5493006QMFDDMYWIAM131051_10007_U973";"";"EQ SWAP";"21.12000000";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
"Termination";"1044_10038_U917_SWAPONE_SWAPSWAPONEEQSWP";"1044_10038_U917_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"TZY1";"2026-01-29";"2026-08-05";"2026-08-05";"7215536.1";"";"mxContractEventIUNWIND";"Unwind";"dead";"5493006QMFDDMYWIAM13104410038U917";"";"";"";"EQ SWAP";"13.43000000";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
"Termination";"1016_15308_U770_SWAPONE_SWAPSWAPONEEQSWP";"1016_15308_U770_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"FPFL12";"2025-09-09";"2026-01-20";"2026-01-20";"1590000.0";"";"mxContractEventICANCEL";"Cancel";"dead";"5493006QMFDDMYWIAM13101615308U770";"";"";"";"EQ SWAP";"15.90000000";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
"Termination";"1051_10058_U610_SWAPONE_SWAPSWAPONEEQSWP";"1051_10058_U610_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"SSAL13";"2025-12-08";"2026-11-03";"2026-11-03";"5412600.0";"";"mxContractEventIUNWIND";"Unwind";"dead";"5493006QMFDDMYWIAM13105110058U610";"";"";"";"EQ SWAP";"11.16000000";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
"Termination";"1051_10011_U1051_SWAPONE_SWAPSWAPONEEQSWP";"1051_10011_U1051_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"SSAL13";"2026-03-09";"2026-11-03";"2026-11-03";"916628.0042";"";"mxContractEventIUNWIND";"Unwind";"dead";"5493006QMFDDMYWIAM13105110011U1051";"";"";"";"EQ SWAP";"61.51865800";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
"Termination";"1051_13301_U703_SWAPONE_SWAPSWAPONEEQSWP";"1051_13301_U703_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"SSAL13";"2025-12-29";"2026-11-03";"2026-11-03";"2926560.0";"";"mxContractEventIUNWIND";"Unwind";"dead";"5493006QMFDDMYWIAM13105113301U703";"";"";"";"EQ SWAP";"28.14000000";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
"Termination";"1043_10101_U486_SWAPONE_SWAPSWAPONEEQSWP";"1043_10101_U486_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"00FLOO";"2025-09-30";"2026-07-13";"2026-07-13";"46739297.02961816";"";"mxContractEventIUNWIND";"Unwind";"dead";"5493006QMFDDMYWIAM13104310101U486";"";"";"";"EQ SWAP";"20.71593699";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
"Decrease";"1058_13407_U488_SWAPONE_SWAPSWAPONEEQSWP";"1058_13407_U488_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"00FLOO";"2025-08-28";"2025-10-02";"2025-10-02";"45500.0";"";"mxContractEventIUNWIND";"Unwind";"dead";"5493006QMFDDMYWIAM13105813407U488";"";"";"";"EQ SWAP";"9.10000000";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
"Termination";"1051_11415_U731_SWAPONE_SWAPSWAPONEEQSWP";"1051_11415_U731_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"SSAL13";"2025-12-30";"2026-11-03";"2026-11-03";"3798480.0";"";"mxContractEventIUNWIND";"Unwind";"dead";"5493006QMFDDMYWIAM13105111415U731";"";"";"";"EQ SWAP";"158.27000000";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
"Termination";"1016_11663_U261_SWAPONE_SWAPSWAPONEEQSWP";"1016_11663_U261_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"FPFL12";"2025-04-08";"2026-01-20";"2026-01-20";"6400.0";"";"mxContractEventIUNWIND";"Unwind";"dead";"5493006QMFDDMYWIAM13101611663U261";"";"";"";"EQ SWAP";"12.80000000";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
"Termination";"1044_10064_U1043_SWAPONE_SWAPSWAPONEEQSWP";"1044_10064_U1043_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"TZY1";"2026-03-05";"2026-08-05";"2026-08-05";"25040000";"";"mxContractEventIUNWIND";"Unwind";"dead";"5493006QMFDDMYWIAM13104410064U1043";"";"";"";"EQ SWAP";"25.04000000";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
"Termination";"1071_10044_U1213_SWAPONE_SWAPSWAPONEEQSWP";"1071_10044_U1213_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"FFASL1";"2026-04-23";"2027-02-02";"2027-02-02";"79008.0012";"";"mxContractEventIUNWIND";"Unwind";"dead";"5493006QMFDDMYWIAM13107110044U1213";"";"";"";"EQ SWAP";"21.94666700";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
"Termination";"1071_10042_U1183_SWAPONE_SWAPSWAPONEEQSWP";"1071_10042_U1183_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"FFASL1";"2026-04-15";"2027-02-02";"2027-02-02";"38184.0";"";"mxContractEventIUNWIND";"Unwind";"dead";"5493006QMFDDMYWIAM13107110042U1183";"";"";"";"EQ SWAP";"63.64000000";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
"Termination";"1016_15308_U762_SWAPONE_SWAPSWAPONEEQSWP";"1016_15308_U762_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"FPFL12";"2025-09-09";"2026-01-20";"2026-01-20";"795000.0";"";"mxContractEventICANCEL";"Cancel";"dead";"5493006QMFDDMYWIAM13101615308U762";"";"";"";"EQ SWAP";"15.90000000";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
"Termination";"1048_11415_U397_SWAPONE_SWAPSWAPONEEQSWP";"1048_11415_U397_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"00A20D";"2026-01-21";"2026-06-08";"2026-06-08";"12988.0";"";"mxContractEventIUNWIND";"Unwind";"dead";"5493006QMFDDMYWIAM13104811415U397";"";"";"";"EQ SWAP";"129.88000000";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
"Termination";"1051_10069_U1105_SWAPONE_SWAPSWAPONEEQSWP";"1051_10069_U1105_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"SSAL13";"2026-03-31";"2026-11-03";"2026-11-03";"41199667";"";"mxContractEventIUNWIND";"Unwind";"dead";"5493006QMFDDMYWIAM13105110069U1105";"";"";"";"EQ SWAP";"82.39933400";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
"Termination";"1044_13301_U448_SWAPONE_SWAPSWAPONEEQSWP";"1044_13301_U448_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"00ZICG";"2026-04-01";"2026-08-05";"2026-08-05";"13036100.33";"";"mxContractEventIUNWIND";"Unwind";"dead";"5493006QMFDDMYWIAM13104413301U448";"";"5493006QMFDDMYWIAM131044_13301_U1113";"";"EQ SWAP";"32.23000000";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
"Termination";"1051_11661_U601_SWAPONE_SWAPSWAPONEEQSWP";"1051_11661_U601_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"SSAL13";"2025-12-05";"2026-11-03";"2026-11-03";"2311200.0";"";"mxContractEventIUNWIND";"Unwind";"dead";"5493006QMFDDMYWIAM13105111661U601";"";"";"";"EQ SWAP";"38.52000000";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
"Termination";"1030_11488_U666_SWAPONE_SWAPSWAPONEEQSWP";"1030_11488_U666_SWAPONE_SWAP";"BDSD";"LONDON BRANCH";"FFASL1";"2025-12-22";"2026-02-03";"2026-02-03";"48745.9995";"";"mxContractEventIUNWIND";"Unwind";"dead";"5493006QMFDDMYWIAM13103011488U666";"";"";"";"EQ SWAP";"32.49733300";"";"Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName";""
